iter	MAE
0	8.631066967
1	8.496045986
2	8.398428568
3	8.29207112
4	8.159383658
5	8.053495819
6	7.95530278
7	7.828264332
8	7.72329194
9	7.627261887
10	7.507089399
11	7.418031659
12	7.335845727
13	7.276473644
14	7.178383056
15	7.119815485
16	7.048028261
17	6.958687547
18	6.878915615
19	6.814818959
20	6.734315373
21	6.669022798
22	6.610411297
23	6.564518965
24	6.502959731
25	6.424160774
26	6.343065569
27	6.275138432
28	6.203666845
29	6.150681318
30	6.081381159
31	6.02424083
32	5.963254859
33	5.909273578
34	5.865153673
35	5.812779599
36	5.745840203
37	5.677587813
38	5.638735996
39	5.571349748
40	5.523833981
41	5.487116381
42	5.452680104
43	5.40476447
44	5.345436568
45	5.296000389
46	5.268018046
47	5.236211749
48	5.203379277
49	5.158241934
50	5.125048452
51	5.0875141
52	5.068273134
53	5.03049572
54	4.999916072
55	4.964027166
56	4.933755946
57	4.886955518
58	4.846713095
59	4.811281804
60	4.779535597
61	4.762630125
62	4.731444774
63	4.709144584
64	4.667625141
65	4.623818228
66	4.613781065
67	4.593419652
68	4.557414987
69	4.51542999
70	4.494962075
71	4.469505246
72	4.442517408
73	4.40556835
74	4.385406955
75	4.352551839
76	4.327042129
77	4.297614256
78	4.283538854
79	4.253492913
80	4.237075624
81	4.220826105
82	4.193734691
83	4.165576471
84	4.147484463
85	4.139237046
86	4.124308922
87	4.098798987
88	4.083915757
89	4.063579546
90	4.03898701
91	4.018127565
92	3.998243596
93	3.989058949
94	3.977514927
95	3.963499986
96	3.950443184
97	3.932827361
98	3.924645925
99	3.91126028
100	3.887256678
101	3.869253767
102	3.852618414
103	3.838201288
104	3.824994084
105	3.805721357
106	3.787537397
107	3.77818944
108	3.762164812
109	3.744138469
110	3.729351061
111	3.718412991
112	3.704973628
113	3.691172227
114	3.681557826
115	3.669008412
116	3.659221188
117	3.651382587
118	3.629755795
119	3.622244931
120	3.591155074
121	3.567879871
122	3.550533804
123	3.529474436
124	3.5148996
125	3.498287739
126	3.480896942
127	3.464209299
128	3.451360959
129	3.441208367
130	3.4237268
131	3.410439773
132	3.400788033
133	3.385358869
134	3.379186594
135	3.362103083
136	3.353409662
137	3.344040285
138	3.326803149
139	3.321620118
140	3.312162766
141	3.294777143
142	3.281737649
143	3.268803715
144	3.259719618
145	3.24743953
146	3.231900542
147	3.225760219
148	3.211038506
149	3.195367202
150	3.189762612
151	3.177632667
152	3.168863002
153	3.16162206
154	3.149692458
155	3.140197304
156	3.128327244
157	3.120071046
158	3.103874804
159	3.095167674
160	3.089587669
161	3.082129942
162	3.075790712
163	3.063669428
164	3.04964548
165	3.040208976
166	3.035577786
167	3.025437298
168	3.009332914
169	3.001691948
170	2.993346258
171	2.984975126
172	2.980970083
173	2.976444076
174	2.965477613
175	2.955854352
176	2.945165513
177	2.933768876
178	2.929756588
179	2.926262564
180	2.917585835
181	2.906218388
182	2.897759322
183	2.89282126
184	2.88457578
185	2.876424397
186	2.866106248
187	2.861255577
188	2.850800159
189	2.838713519
190	2.829540888
191	2.827345761
192	2.819299332
193	2.812189417
194	2.808683008
195	2.802758158
196	2.799273242
197	2.796545376
198	2.793530258
199	2.784632556
200	2.778254486
201	2.772001115
202	2.768753256
203	2.765674944
204	2.758710277
205	2.753221485
206	2.745503528
207	2.741638948
208	2.733236123
209	2.728930414
210	2.722494364
211	2.720144689
212	2.70283506
213	2.694234651
214	2.684761199
215	2.674533133
216	2.659557042
217	2.650865443
218	2.644699521
219	2.636331383
220	2.627204403
221	2.618311762
222	2.61524885
223	2.607363048
224	2.60592806
225	2.597367821
226	2.593410434
227	2.581766412
228	2.579226121
229	2.56920253
230	2.562137419
231	2.559424204
232	2.554505699
233	2.552135382
234	2.547708189
235	2.54189761
236	2.535001764
237	2.521909833
238	2.516627418
239	2.499412194
240	2.488081579
241	2.485340004
242	2.476843558
243	2.473909322
244	2.470815456
245	2.468408294
246	2.465684892
247	2.459219197
248	2.455906588
249	2.452237159
250	2.447625853
251	2.441560381
252	2.436974699
253	2.432539467
254	2.427321798
255	2.422377161
256	2.418059908
257	2.416461017
258	2.413795916
259	2.400061458
260	2.396968432
261	2.39152118
262	2.390260716
263	2.387958457
264	2.384132433
265	2.380342481
266	2.376276932
267	2.370311386
268	2.361663853
269	2.355340303
270	2.347783789
271	2.341431018
272	2.336602135
273	2.333879089
274	2.330925792
275	2.324886368
276	2.316109523
277	2.312208747
278	2.307574693
279	2.303170538
280	2.299850902
281	2.297112492
282	2.293059378
283	2.290152549
284	2.281055015
285	2.277082104
286	2.274454798
287	2.27193319
288	2.269094451
289	2.264782853
290	2.260002252
291	2.252190129
292	2.247595827
293	2.246284447
294	2.24290476
295	2.239229986
296	2.235862159
297	2.234225799
