iter	Passed	Remaining
0	0	2532
1	1	2323
2	2	2060
3	2	1875
4	2	1774
5	3	1621
6	3	1498
7	3	1493
8	4	1452
9	4	1418
10	5	1385
11	5	1370
12	5	1355
13	6	1350
14	6	1347
15	7	1348
16	7	1353
17	8	1351
18	8	1354
19	9	1341
20	9	1328
21	9	1321
22	10	1330
23	10	1321
24	10	1305
25	11	1291
26	11	1279
27	11	1270
28	12	1259
29	12	1259
30	13	1255
31	13	1255
32	13	1252
33	14	1247
34	15	1294
35	15	1310
36	16	1313
37	16	1315
38	17	1316
39	17	1306
40	18	1304
41	18	1301
42	18	1301
43	19	1298
44	19	1290
45	19	1282
46	20	1271
47	20	1262
48	20	1252
49	21	1243
50	21	1233
51	21	1229
52	22	1224
53	22	1216
54	22	1207
55	22	1199
56	23	1191
57	23	1189
58	23	1187
59	24	1180
60	24	1179
61	24	1176
62	25	1172
63	25	1165
64	25	1159
65	25	1154
66	26	1143
67	26	1140
68	26	1138
69	27	1145
70	27	1143
71	28	1145
72	28	1153
73	29	1163
74	29	1168
75	30	1177
76	30	1174
77	31	1171
78	31	1167
79	31	1164
80	32	1164
81	32	1161
82	32	1158
83	33	1155
84	33	1152
85	33	1147
86	33	1137
87	34	1136
88	34	1134
89	35	1136
90	35	1134
91	35	1134
92	36	1131
93	36	1129
94	36	1126
95	37	1124
96	37	1116
97	37	1113
98	37	1111
99	38	1108
100	38	1106
101	38	1104
102	39	1101
103	39	1100
104	39	1098
105	40	1097
106	40	1095
107	40	1093
108	41	1092
109	41	1091
110	42	1110
111	43	1112
112	43	1113
113	44	1119
114	45	1131
115	45	1130
116	45	1128
117	46	1126
118	46	1125
119	46	1124
120	47	1125
121	47	1124
122	48	1123
123	48	1122
124	48	1120
125	48	1117
126	49	1116
127	49	1114
128	49	1112
129	50	1110
130	50	1109
131	50	1107
132	51	1105
133	51	1103
134	51	1101
135	52	1100
136	52	1099
137	52	1098
138	53	1097
139	53	1096
140	53	1094
141	54	1092
142	55	1108
143	55	1106
144	56	1104
145	56	1103
146	56	1101
147	57	1100
148	57	1100
149	57	1100
150	58	1103
151	58	1105
152	59	1104
153	59	1108
154	60	1107
155	60	1107
156	61	1108
157	61	1108
158	62	1108
159	62	1108
160	62	1108
161	63	1108
162	63	1108
163	64	1108
164	64	1108
165	64	1108
166	65	1108
167	65	1108
168	66	1108
169	66	1108
170	67	1108
171	67	1108
172	67	1108
173	68	1108
174	68	1108
175	69	1107
176	69	1107
177	69	1107
178	70	1107
179	70	1107
180	71	1106
181	71	1106
182	71	1107
183	72	1107
184	72	1107
185	73	1108
186	73	1108
187	74	1107
188	74	1110
189	75	1110
190	75	1109
191	75	1107
192	76	1106
193	76	1105
194	76	1104
195	77	1102
196	77	1101
197	77	1100
198	78	1098
199	78	1097
200	78	1096
201	79	1095
202	79	1095
203	79	1094
204	80	1093
205	80	1094
206	80	1092
207	81	1091
208	81	1090
209	81	1088
210	82	1087
211	82	1085
212	82	1084
213	83	1083
214	83	1082
215	83	1080
216	84	1079
217	84	1078
218	85	1082
219	85	1081
220	85	1080
221	86	1080
222	86	1079
223	87	1078
224	87	1077
225	87	1076
226	88	1075
227	88	1074
228	88	1073
229	89	1072
230	89	1071
231	89	1070
232	90	1069
233	90	1067
234	90	1066
235	90	1065
236	91	1064
237	91	1063
238	92	1063
239	92	1062
240	92	1061
241	93	1060
242	93	1059
243	93	1058
244	94	1057
245	94	1056
246	94	1054
247	94	1053
248	95	1052
249	95	1051
250	95	1050
251	96	1049
252	96	1048
253	96	1047
254	98	1058
255	98	1057
256	99	1057
257	99	1058
258	99	1058
259	100	1057
260	100	1056
261	100	1055
262	101	1054
263	101	1053
264	101	1052
265	102	1051
266	102	1051
267	103	1050
268	103	1049
269	103	1050
270	104	1050
271	104	1049
272	104	1048
273	105	1047
274	105	1046
275	105	1045
276	106	1044
277	106	1043
278	106	1041
279	107	1040
280	107	1039
281	107	1039
282	108	1038
283	108	1037
284	108	1037
285	109	1036
286	109	1035
287	109	1034
288	110	1033
289	110	1032
290	110	1031
291	111	1030
292	111	1029
293	111	1028
294	112	1027
295	112	1027
296	112	1026
297	113	1026
